日期,星期,频道,开始时间,结束时间,商品ID,商品名称,售价,原价,活动标签,是否直播,商品链接,商品图片
2026-04-24,周五,优购物,00:00,00:39,876256,Healthwow多维营养蛋白粉优选组,479,599,限时降价,否,https://www.huimai.com.cn/goods-876256.html,https://assets.ugoshop.com/proimage/faf25e598cb1002805351973dcf447ab.png!p450
2026-04-24,周五,优购物,00:40,01:29,883147,诺惠德国原装进口辅酶Q10优享组,999,999,,否,https://www.huimai.com.cn/goods-883147.html,https://assets.ugoshop.com/proimage/6d54b789bedc28da179185e5eb7fd9e5.JPG!p450
2026-04-24,周五,优购物,01:30,02:19,695393,头号海12小时干海参超值组,2599,2599,有赠品,否,https://www.huimai.com.cn/goods-695393.html,https://assets.ugoshop.com/proimage/d417678acf22386224e8ee9543cd6f36.png!p450
2026-04-24,周五,优购物,02:20,02:49,865013,黑金松露亚麻籽仁饼,198,198,有赠品,否,https://www.huimai.com.cn/goods-865013.html,https://assets.ugoshop.com/proimage/312bc9d31bf4f4afb86f2959545aeb48.jpg!p450
2026-04-24,周五,优购物,02:50,03:29,818536,泰国原装进口娜帕蒂卡人参洗发水,399,399,有赠品,否,https://www.huimai.com.cn/goods-818536.html,https://assets.ugoshop.com/proimage/8c058638daa03be32aaa18f525c86d46.jpg!p450
2026-04-24,周五,优购物,03:30,04:09,876256,Healthwow多维营养蛋白粉优选组,479,599,限时降价,否,https://www.huimai.com.cn/goods-876256.html,https://assets.ugoshop.com/proimage/faf25e598cb1002805351973dcf447ab.png!p450
2026-04-24,周五,优购物,04:10,04:49,814868,自然之臻有机中宁红枸杞原浆超值组,399,399,有赠品,否,https://www.huimai.com.cn/goods-814868.html,https://assets.ugoshop.com/proimage/51690aa2171fb4efa242c8bd449b29a4.jpg!p450
2026-04-24,周五,优购物,04:50,05:29,870889,natures gem益生菌冻干粉畅活30000亿尊享组,299,399,限时降价,是,https://www.huimai.com.cn/goods-870889.html,https://assets.ugoshop.com/proimage/18b3af9147ac2d031d932036a691d0e8.png!p450
2026-04-24,周五,优购物,05:30,06:19,695393,头号海12小时干海参超值组,2599,2599,有赠品,否,https://www.huimai.com.cn/goods-695393.html,https://assets.ugoshop.com/proimage/d417678acf22386224e8ee9543cd6f36.png!p450
2026-04-24,周五,优购物,06:20,06:59,856736,火菲尔纯钛微压锅炒菜锅不粘锅无涂层龙卷风锻打家用燃气灶电磁炉通用蒸炒锅,699,699,有赠品,否,https://www.huimai.com.cn/goods-856736.html,https://assets.ugoshop.com/proimage/32c8ede1daec0cc75151581c018fdf35.jpg!p450
2026-04-24,周五,优购物,07:00,07:49,833496,LECEA富硒球釜降糖钛饭煲,999,999,有赠品,否,https://www.huimai.com.cn/goods-833496.html,https://assets.ugoshop.com/proimage/02582427e692665631ba43792376eaf4.jpg!p450
2026-04-24,周五,优购物,07:50,08:19,832111,汉江山去核枇杷干,198,198,有赠品,否,https://www.huimai.com.cn/goods-832111.html,https://assets.ugoshop.com/proimage/ab6605e182f94ea0733fbad4abdbd82d.jpg!p450
2026-04-24,周五,优购物,08:20,08:59,880379,自然之臻有机黑山羊奶粉惊爆组,598,598,,否,https://www.huimai.com.cn/goods-880379.html,https://assets.ugoshop.com/proimage/cad469b0873c3e7fa496fb72bd4e5df8.jpg!p450
2026-04-24,周五,优购物,09:00,09:39,816556,RifugioVo100汉麻优雅国风绣花上衣·紫色,399,399,满1件减100,否,https://www.huimai.com.cn/goods-816556.html,https://assets.ugoshop.com/proimage/8a17d6154a62518503a2b60db232fa17.jpg!p450
2026-04-24,周五,优购物,09:40,10:19,877140,维众汉麻女士内裤新,198,198,,否,https://www.huimai.com.cn/goods-877140.html,https://assets.ugoshop.com/proimage/17f62901f4bbe2dc7181ce113f3c3cbe.jpg!p450
2026-04-24,周五,优购物,10:20,10:49,798854,德世朗钛健康保鲜盒惠选款,299,299,,否,https://www.huimai.com.cn/goods-798854.html,https://assets.ugoshop.com/proimage/ea438472edbca6f41b38bf70d3400e60.jpg!p450
2026-04-24,周五,优购物,10:50,11:09,885057,江中猴姑宝基堂经典0糖酥性饼干尊享组,159,159,,否,https://www.huimai.com.cn/goods-885057.html,https://assets.ugoshop.com/proimage/980b6fde98b4c4acf85eac8e2cab76a3.jpg!p450
2026-04-24,周五,优购物,11:10,11:59,884094,Healthwow南极磷虾油凝胶糖果无糖夹心型尊贵组,999,999,,否,https://www.huimai.com.cn/goods-884094.html,https://assets.ugoshop.com/proimage/45c3067bba2012b15d8d50b6f92ef747.png!p450
2026-04-24,周五,优购物,12:00,12:39,870889,natures gem益生菌冻干粉畅活30000亿尊享组,299,399,限时降价,是,https://www.huimai.com.cn/goods-870889.html,https://assets.ugoshop.com/proimage/18b3af9147ac2d031d932036a691d0e8.png!p450
2026-04-24,周五,优购物,12:40,13:29,820433,自然之臻新疆有机纯驼乳粉新款,999,1098,有赠品|有赠品,否,https://www.huimai.com.cn/goods-820433.html,https://assets.ugoshop.com/proimage/8dc585e67b3db62d1500b880b49e1b64.png!p450
2026-04-23,周四,优购物,00:00,00:39,874751,自然之臻怀山堂铁棍怀山药粉超值组,299,299,满2件减100,否,https://www.huimai.com.cn/goods-874751.html,https://assets.ugoshop.com/proimage/c2fceec5cdc03c811f7a355e2b8ae860.png!p450
2026-04-23,周四,优购物,00:40,01:19,845089,双极水口腔含漱液尊享组,399,399,有赠品,否,https://www.huimai.com.cn/goods-845089.html,https://assets.ugoshop.com/proimage/45551a7c58498cddb19553ade2924c92.jpg!p450
2026-04-23,周四,优购物,01:20,01:59,875239,Healthwow南极磷虾油中老年奶粉尊贵装,499,699,有赠品|有赠品,否,https://www.huimai.com.cn/goods-875239.html,https://assets.ugoshop.com/proimage/709c08e7045bb92b49b182bbfe29c4ec.jpg!p450
2026-04-23,周四,优购物,02:00,02:39,835307,岭上嘎仙紫苏籽油超值装,398,398,有赠品,否,https://www.huimai.com.cn/goods-835307.html,https://assets.ugoshop.com/proimage/8bd792110551a084b12978ac6ab777b8.jpg!p450
2026-04-23,周四,优购物,02:40,03:19,793703,宝基堂红参浆饮尊贵组,499,899,限时降价,否,https://www.huimai.com.cn/goods-793703.html,https://assets.ugoshop.com/proimage/4b4a9f17f0bd8cc8b9a02864a3717c07.jpg!p450
2026-04-23,周四,优购物,03:20,03:59,874751,自然之臻怀山堂铁棍怀山药粉超值组,299,299,满2件减100,否,https://www.huimai.com.cn/goods-874751.html,https://assets.ugoshop.com/proimage/c2fceec5cdc03c811f7a355e2b8ae860.png!p450
2026-04-23,周四,优购物,04:00,04:49,824881,LECEA缓释富硒焕活水杯超值组,703,703,,否,https://www.huimai.com.cn/goods-824881.html,https://assets.ugoshop.com/proimage/c37cf3ff0d48ebb97ce80782428590d7.jpg!p450
2026-04-23,周四,优购物,04:50,05:39,863588,chritsniroid(克里斯诺德）轻型便携电动轮椅车,2680,2680,有赠品,否,https://www.huimai.com.cn/goods-863588.html,https://assets.ugoshop.com/proimage/b626f5812fee9deb346bb2115d55ef44.jpg!p450
2026-04-23,周四,优购物,05:40,06:19,879598,自然之臻黄芪原液尊享组,399,499,限时降价,否,https://www.huimai.com.cn/goods-879598.html,https://assets.ugoshop.com/proimage/d0973c15564601ebca00f4fb24ae4e6f.jpg!p450
2026-04-23,周四,优购物,06:20,07:09,795434,李时珍膏方集团五指毛桃茯芷膏,699,699,,否,https://www.huimai.com.cn/goods-795434.html,https://assets.ugoshop.com/proimage/2336449b28a784234370e29e4335a6e7.jpg!p450
