日期,显示日期,开始时间,结束时间,分类,品牌,商品名称,SKU,手机价,市场价,价格前缀,手机价前缀,优惠信息,商品链接,商品图片,一级分类,二级分类,三级分类
2026-04-18,4月18日,00:00,00:40,茗茶,其他,2026明前头采特级龙井优享组,97096484,369,399,TV价,手机价,立减30,http://wp.sharkshopping.com/product/97096484,http://mallpic.ghs.net/oss/ad8e3/33a64/66e2ead86ce3ba4ca239bddeed933a64.png,酒水茗茶,茗茶,绿茶
2026-04-18,4月18日,00:40,01:20,营养成分,REIKI ERA,美国RE十二精粹护肺饮养护组,97096899,599,599,,手机价,,http://wp.sharkshopping.com/product/97096899,http://mallpic.ghs.net/oss/2109b/5f7c9/f2b532109d9b2d4df099951d5265f7c9.jpg,保健营养,营养成分,蛋白质
2026-04-18,4月18日,01:20,02:00,头发护理,其他,青未卓娅丽娜乌斯曼皂,97096774,279,299,TV价,手机价,立减20,http://wp.sharkshopping.com/product/97096774,http://mallpic.ghs.net/oss/89173/a4d96/4bc37891ee731d487f28112db7aa4d96.png,美妆个护,头发护理,洗发
2026-04-18,4月18日,02:00,02:40,保健器械,其他,BENMU本慕万肤拔毒膏健康组,97093053,339,399,聚鲨价,手机价,8.5折,http://wp.sharkshopping.com/product/97093053,http://mallpic.ghs.net/oss/fdfd0/a68d6/0741dfdf0ed0e141bef98d0a66fa68d6.png,保健营养,保健器械,家庭护理
2026-04-18,4月18日,02:40,03:20,粮油调味,五谷康,五谷新势力小麦胚芽,97093295,199,199,,手机价,,http://wp.sharkshopping.com/product/97093295,http://mallpic.ghs.net/oss/9b342/adafa/076c89b30642ea47f33b5b2d947adafa.png,粮油生鲜,粮油调味,杂粮
2026-04-18,4月18日,03:20,04:00,茗茶,其他,2026年明前春之获恩施硒茶,97096570,369,399,TV价,手机价,立减30,http://wp.sharkshopping.com/product/97096570,http://mallpic.ghs.net/oss/852b4/1d9b7/73505852d1b4f741742b62f5f931d9b7.jpg,酒水茗茶,茗茶,绿茶
2026-04-18,4月18日,04:00,04:40,饮料冲调,其他,西藏金银花藏蜂蜜,97096798,279,299,TV价,手机价,立减20,http://wp.sharkshopping.com/product/97096798,http://mallpic.ghs.net/oss/8c5fc/5c8c5/78b128c5e1fc524224684a48ca35c8c5.jpg,休闲食品,饮料冲调,蜂蜜/蜂产品
2026-04-18,4月18日,04:40,05:20,保健器械,其他,NorsBerlan鼻舒通油健康组,97096480,369,399,TV价,手机价,立减30,http://wp.sharkshopping.com/product/97096480,http://mallpic.ghs.net/oss/a05cc/66ff9/ac08ca0597cc1642c2296f0ca6066ff9.png,保健营养,保健器械,家庭护理
2026-04-18,4月18日,05:20,06:00,保健器械,其他,藏洲堂沉香牛黄保健油,97096111,469,499,TV价,手机价,立减30,http://wp.sharkshopping.com/product/97096111,http://mallpic.ghs.net/oss/ae4e1/d3908/3efa4ae45ce14b4c885b42c2330d3908.jpg,保健营养,保健器械,家庭护理
2026-04-18,4月18日,06:00,06:50,营养成分,云杉,美国云杉高活性叶酸甲钴胺神经素,9633080,1088,1088,,手机价,,http://wp.sharkshopping.com/product/9633080,http://mallpic.ghs.net/oss/34a72/71795/a7aa334ad07294480448efd8e9171795.png,保健营养,营养成分,其他营养
